t_s,uy_mass_m
0.000000000000000000e+00,-2.969293409809378785e-13
9.999999999999999547e-08,-1.366922142564208294e-09
1.999999999999999909e-07,-5.170213014281685419e-09
2.999999999999999864e-07,-1.107899909583528543e-08
3.999999999999999819e-07,-1.850845485083262637e-08
4.999999999999999774e-07,-2.674364357842668626e-08
5.999999999999999728e-07,-3.498203450287723982e-08
6.999999999999999683e-07,-4.242941384756864092e-08
7.999999999999999638e-07,-4.838023046396035229e-08
8.999999999999999593e-07,-5.224919916743992531e-08
9.999999999999999547e-07,-5.365437692251618839e-08
1.100000000000000056e-06,-5.253725961739200102e-08
1.199999999999999946e-06,-4.898044795033247255e-08
1.299999999999999835e-06,-4.332159318879448709e-08
1.399999999999999937e-06,-3.611858840938560997e-08
1.500000000000000038e-06,-2.807349780148468251e-08
1.599999999999999928e-06,-1.996368998805961121e-08
1.699999999999999817e-06,-1.257971568071519509e-08
1.799999999999999919e-06,-6.618569635153970524e-09
1.900000000000000020e-06,-2.654602041095778879e-09
1.999999999999999909e-06,-1.105178623891765004e-09
2.099999999999999799e-06,-2.040164201932703168e-09
2.200000000000000112e-06,-5.346047446324243217e-09
2.300000000000000002e-06,-1.076847325466528081e-08
2.399999999999999891e-06,-1.774556319583321195e-08
2.499999999999999781e-06,-2.560914744026913933e-08
2.599999999999999671e-06,-3.358773797124125143e-08
2.699999999999999984e-06,-4.090803060254976564e-08
2.799999999999999873e-06,-4.688328037533432816e-08
2.899999999999999763e-06,-5.091563277550135824e-08
3.000000000000000076e-06,-5.265498072484199020e-08
3.099999999999999966e-06,-5.188343065164325177e-08
3.199999999999999855e-06,-4.881328993575045475e-08
3.299999999999999745e-06,-4.360900078431684470e-08
3.399999999999999634e-06,-3.685255974528435282e-08
3.499999999999999947e-06,-2.917373808230320329e-08
3.599999999999999837e-06,-2.132721093274014851e-08
3.699999999999999727e-06,-1.406809871472694893e-08
3.800000000000000040e-06,-8.099328466471252054e-09
3.899999999999999929e-06,-3.982587428803342958e-09
3.999999999999999819e-06,-2.110974800944293341e-09
4.099999999999999709e-06,-2.694486773945133037e-09
4.199999999999999598e-06,-5.557320850011475743e-09
4.299999999999999488e-06,-1.051082132877024489e-08
4.400000000000000224e-06,-1.706269658885204178e-08
4.500000000000000114e-06,-2.455245856815572789e-08
4.600000000000000004e-06,-3.226426509872404451e-08
4.699999999999999893e-06,-3.944688944657524176e-08
4.799999999999999783e-06,-4.541936895660615777e-08
4.899999999999999672e-06,-4.961303402531711323e-08
4.999999999999999562e-06,-5.160499352069390903e-08
5.099999999999999452e-06,-5.122610772411121090e-08
5.199999999999999341e-06,-4.854790814069989127e-08
5.300000000000000078e-06,-4.382532824102045476e-08
5.399999999999999967e-06,-3.749455423677690606e-08
5.499999999999999857e-06,-3.018813238660331491e-08
5.599999999999999747e-06,-2.261272166646419646e-08
5.699999999999999636e-06,-1.549605348153522846e-08
5.799999999999999526e-06,-9.535138249987598161e-09
5.899999999999999415e-06,-5.283312797318867433e-09
6.000000000000000152e-06,-3.150927421757605856e-09
6.100000000000000042e-06,-3.371606228175874906e-09
6.199999999999999931e-06,-5.831253873550479812e-09
6.299999999999999821e-06,-1.033397660132194967e-08
6.399999999999999710e-06,-1.645615357398336772e-08
6.499999999999999600e-06,-2.357894681221312172e-08
