t_s,uy_mass_m
0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999909e-07,-9.099136054024332644e-19
3.999999999999999819e-07,-1.672793378787621955e-16
5.999999999999999728e-07,-3.147594574069853218e-15
7.999999999999999638e-07,-2.282886762907662191e-14
9.999999999999999547e-07,-9.827667035278261561e-14
1.199999999999999946e-06,-2.905774243856925184e-13
1.399999999999999937e-06,-6.535729646742306133e-13
1.599999999999999928e-06,-1.188598233290585700e-12
1.799999999999999919e-06,-1.803096239929789240e-12
1.999999999999999909e-06,-2.323001256657579732e-12
2.200000000000000112e-06,-2.536378045576730260e-12
2.399999999999999891e-06,-2.444792964927886391e-12
2.599999999999999671e-06,-2.033352047563302808e-12
2.799999999999999873e-06,-1.621911130198720033e-12
3.000000000000000076e-06,-1.213957482277926976e-12
3.199999999999999855e-06,-8.060960511595322407e-13
3.399999999999999634e-06,-8.030852923286725509e-13
3.599999999999999837e-06,-8.980341386221560531e-13
3.800000000000000040e-06,-1.147591181869859420e-12
3.999999999999999819e-06,-1.485591035269596262e-12
4.199999999999999598e-06,-1.823590888669323612e-12
4.400000000000000224e-06,-2.161590742069058031e-12
4.600000000000000004e-06,-2.363504171821314707e-12
4.799999999999999783e-06,-2.244824351881796926e-12
4.999999999999999562e-06,-2.126144531942277932e-12
5.199999999999999341e-06,-2.007464712002760554e-12
5.399999999999999967e-06,-1.839133099714051813e-12
5.599999999999999747e-06,-1.594331094537398757e-12
5.799999999999999526e-06,-1.349529089360751355e-12
6.000000000000000152e-06,-1.104727084184106579e-12
6.199999999999999931e-06,-8.599250790074581670e-13
6.399999999999999710e-06,-8.510759834094801436e-13
6.599999999999999490e-06,-1.104515324708584584e-12
6.799999999999999269e-06,-1.357954666007677311e-12
6.999999999999999895e-06,-1.611394007306777106e-12
7.199999999999999674e-06,-1.827795207083774032e-12
7.399999999999999453e-06,-1.968023371297408169e-12
7.600000000000000080e-06,-2.108251535511050788e-12
7.799999999999999859e-06,-2.248479699724690983e-12
7.999999999999999638e-06,-2.309170857618980515e-12
8.199999999999999417e-06,-2.009355400896998213e-12
8.399999999999999196e-06,-1.709539944175015508e-12
8.599999999999998976e-06,-1.409724487453032601e-12
8.800000000000000449e-06,-1.119896454915651324e-12
9.000000000000000228e-06,-1.110952148810379030e-12
9.200000000000000007e-06,-1.102007842705105929e-12
9.399999999999999786e-06,-1.093063536599833231e-12
9.599999999999999566e-06,-1.084119230494560331e-12
9.799999999999999345e-06,-1.341075415173964075e-12
9.999999999999999124e-06,-1.631594062096588337e-12
1.019999999999999890e-05,-1.922112709019212801e-12
1.039999999999999868e-05,-2.212631355941842717e-12
1.060000000000000016e-05,-2.208618942481863388e-12
