t_s,uy_mass_m
0.000000000000000000e+00,-3.269035060125235734e-37
1.999999999999999909e-07,-2.127588255308914585e-17
3.999999999999999819e-07,-4.541561061709405918e-14
5.999999999999999728e-07,-9.080994535163469534e-14
7.999999999999999638e-07,-5.279286909882751721e-13
9.999999999999999547e-07,-9.650474366249034435e-13
1.199999999999999946e-06,-1.702943789366221221e-12
1.399999999999999937e-06,-2.440840142107536575e-12
1.599999999999999928e-06,-2.705983871764889316e-12
1.799999999999999919e-06,-2.971127601422241250e-12
1.999999999999999909e-06,-2.470425186197137680e-12
2.200000000000000112e-06,-1.969722770972031687e-12
2.399999999999999891e-06,-1.272175580053761136e-12
2.599999999999999671e-06,-5.746283891354811954e-13
2.799999999999999873e-06,-4.586072190677176415e-13
3.000000000000000076e-06,-3.425860489999535827e-13
3.199999999999999855e-06,-9.329139649126570146e-13
3.399999999999999634e-06,-1.523241880825346916e-12
3.599999999999999837e-06,-2.152363006508374234e-12
3.800000000000000040e-06,-2.781484132191394687e-12
3.999999999999999819e-06,-2.748246256683029644e-12
4.199999999999999598e-06,-2.715008381174679545e-12
4.400000000000000224e-06,-2.062802197206912896e-12
4.600000000000000004e-06,-1.410596013239141401e-12
4.799999999999999783e-06,-8.742405507314974981e-13
4.999999999999999562e-06,-3.378850882238619763e-13
5.199999999999999341e-06,-5.141817636349554584e-13
5.399999999999999967e-06,-6.904784390460517678e-13
5.599999999999999747e-06,-1.375132770034546263e-12
5.799999999999999526e-06,-2.059787101023036618e-12
6.000000000000000152e-06,-2.483692841753147750e-12
6.199999999999999931e-06,-2.907598582483280289e-12
6.399999999999999710e-06,-2.600301360663465691e-12
6.599999999999999490e-06,-2.293004138843664421e-12
6.799999999999999269e-06,-1.605737092621106188e-12
6.999999999999999895e-06,-9.184700463985447244e-13
7.199999999999999674e-06,-6.213441718593794343e-13
7.399999999999999453e-06,-3.242182973202063187e-13
7.600000000000000080e-06,-7.453134696666885472e-13
7.799999999999999859e-06,-1.166408642013155478e-12
7.999999999999999638e-06,-1.827299982851012406e-12
8.199999999999999417e-06,-2.488191323688865496e-12
8.399999999999999196e-06,-2.650011521975661685e-12
8.599999999999998976e-06,-2.811831720262460701e-12
8.800000000000000449e-06,-2.298379017239355536e-12
9.000000000000000228e-06,-1.784926314216266526e-12
9.200000000000000007e-06,-1.177373317943299537e-12
9.399999999999999786e-06,-5.698203216703187148e-13
9.599999999999999566e-06,-5.458392319416902913e-13
9.799999999999999345e-06,-5.218581422130482363e-13
9.999999999999999124e-06,-1.103041592166407776e-12
1.019999999999999890e-05,-1.684225042119747929e-12
1.039999999999999868e-05,-2.214564722341091038e-12
1.060000000000000016e-05,-2.744904402562441013e-12
1.079999999999999993e-05,-2.634427006764689915e-12
1.099999999999999971e-05,-2.523949610966967493e-12
1.119999999999999949e-05,-1.901705729832311124e-12
1.139999999999999927e-05,-1.279461848697664852e-12
1.159999999999999905e-05,-8.462145655598835548e-13
1.179999999999999883e-05,-4.129672824220941293e-13
1.200000000000000030e-05,-6.489445290212771015e-13
1.220000000000000008e-05,-8.849217756204385158e-13
1.239999999999999986e-05,-1.520693910175840676e-12
1.259999999999999964e-05,-2.156466044731217897e-12
1.279999999999999942e-05,-2.477458161566245139e-12
1.299999999999999920e-05,-2.798450278401275613e-12
1.319999999999999898e-05,-2.450941663715915318e-12
1.339999999999999876e-05,-2.103433049030578450e-12
1.359999999999999854e-05,-1.481351778888817346e-12
1.380000000000000001e-05,-8.592705087470649263e-13
1.399999999999999979e-05,-6.604789754129896540e-13
1.419999999999999957e-05,-4.616874420788931772e-13
1.439999999999999935e-05,-9.025097904088848668e-13
1.459999999999999913e-05,-1.343332138738838994e-12
1.479999999999999891e-05,-1.925943669251304640e-12
1.499999999999999869e-05,-2.508555199763743830e-12
