V_DC_MAX_V,S_mrad_V,L_um
6.194480239846249106e+02,7.475984358891130910e+01,9.999999999999998579e+01
6.195405462793590914e+02,7.474867894065002361e+01,9.999999999999998579e+01
7.445516910566642537e+02,7.463794056070661043e+01,1.199999999999999858e+02
6.226475572504617730e+02,7.437568307350234420e+01,9.999999999999998579e+01
6.229757211541372044e+02,7.433650431634193012e+01,9.999999999999998579e+01
7.477548658419808589e+02,7.431821229125186790e+01,1.199999999999999858e+02
7.480346872034575654e+02,7.429041167758835229e+01,1.199999999999999858e+02
7.510346634435238684e+02,7.399366176610537593e+01,1.199999999999999858e+02
5.635547948727165704e+02,7.395705621759314852e+01,8.999999999999998579e+01
6.262799381397069283e+02,7.394430918880912884e+01,9.999999999999998579e+01
6.892985056340261281e+02,7.390241050377697718e+01,1.099999999999999858e+02
5.641868211779437843e+02,7.387420634724507806e+01,8.999999999999998579e+01
6.268760799271839232e+02,7.387399019903575947e+01,9.999999999999998579e+01
7.540063132622278772e+02,7.370204185828104926e+01,1.199999999999999858e+02
7.547572563896638940e+02,7.362871226609371433e+01,1.199999999999999858e+02
6.921896737310277103e+02,7.359373168401310750e+01,1.099999999999999858e+02
6.924093134876366094e+02,7.357038695279682372e+01,1.099999999999999858e+02
5.668430002207027201e+02,7.352803797500865812e+01,8.999999999999998579e+01
6.929122433271612636e+02,7.351698806533269703e+01,1.099999999999999858e+02
5.677461674278065402e+02,7.341107001201460491e+01,8.999999999999998579e+01
7.571418517588169834e+02,7.339682086305138853e+01,1.199999999999999858e+02
6.951983743565610894e+02,7.327523049827894397e+01,1.099999999999999858e+02
7.589245961919278898e+02,7.322440877566060635e+01,1.199999999999999858e+02
6.957927165632793276e+02,7.321263921044936751e+01,1.099999999999999858e+02
6.970149628149949876e+02,7.308425764243855838e+01,1.099999999999999858e+02
6.339952732668581348e+02,7.304445212331771131e+01,9.999999999999998579e+01
7.614947094710711326e+02,7.297726979621522503e+01,1.199999999999999858e+02
6.984060632524277707e+02,7.293868682321858898e+01,1.099999999999999858e+02
6.985049115979704766e+02,7.292836496520611433e+01,1.099999999999999858e+02
6.986132274669317894e+02,7.291705785146626795e+01,1.099999999999999858e+02
8.258703009185784367e+02,7.289617816859997390e+01,1.300000000000000000e+02
