quantity,unit,Part1/2,Part3a
k,N/m,40.2963,13.4547
m_shuttle,pg,3.5416,1.12383
m_eff,pg,3.80023,1.17487
f_r,kHz,518.26,538.596
f_r_fem_est,kHz,497.098,516.603
Q,-,77.5352,80.6625
dCdx,F/m,7.08335e-11,1.14121e-10
V_DC_MAX,V,1377.06,626.894
V_PI_axial,V,347.105,743.915
V_side_cal,V,220.317,722.653
V_PI,V,220.317,722.653
x_PI,um,0.403928,3.06465
u_pi,um,0.596072,1.43535
S_max,mrad/V,33.6295,73.8718
a_max_dc,m/s^2,2.0712e+06,2.25599e+06
a_max_res,m/s^2,27351.8,28395.2
f_bar_tip,MHz,33.7917,6.81396
f_finger,MHz,3.44957,31.9299
f_beam_cc,MHz,7.8035,10.1506
