Vd_V,uy_mass_m,uy_bar_m,C11_F
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.000000000000000000e+01,-2.817193508617886445e-10,-2.784413402700075668e-10,nan
2.000000000000000000e+01,-1.127080101301894841e-09,-1.113964617929386655e-09,nan
3.000000000000000000e+01,-2.536687889760886657e-09,-2.507165152951148238e-09,nan
4.000000000000000000e+01,-4.511543840961966859e-09,-4.459026892549077886e-09,nan
5.000000000000000000e+01,-7.053032005122180089e-09,-6.970909878519954428e-09,nan
6.000000000000000000e+01,-1.016290142111636735e-08,-1.004453235578213535e-08,nan
7.000000000000000000e+01,-1.384324248343828886e-08,-1.368194720195578690e-08,nan
8.000000000000000000e+01,-1.809645718461010837e-08,-1.788551225480522090e-08,nan
9.000000000000000000e+01,-2.292522272509617836e-08,-2.265785403456570057e-08,nan
1.000000000000000000e+02,-2.833244790602936318e-08,-2.800182428257677393e-08,nan
1.100000000000000000e+02,-3.432122165494828915e-08,-3.392044867360021751e-08,nan
1.200000000000000000e+02,-4.089475298427752722e-08,-4.041686700978066743e-08,nan
1.300000000000000000e+02,-4.805630165072127306e-08,-4.749426417372552419e-08,nan
1.400000000000000000e+02,-5.580909877577908498e-08,-5.515579111128063154e-08,nan
1.500000000000000000e+02,-6.415625670558715141e-08,-6.340447513365455203e-08,nan
1.600000000000000000e+02,-7.310066743831542000e-08,-7.224311887961690019e-08,nan
1.700000000000000000e+02,-8.264488902497516770e-08,-8.167418735728063860e-08,nan
1.800000000000000000e+02,-9.279101946171676253e-08,-9.169968259834586572e-08,nan
1.900000000000000000e+02,-1.035405577203248601e-07,-1.023210055877966990e-07,nan
2.000000000000000000e+02,-1.148942517196534793e-07,-1.135388052897040375e-07,nan
2.100000000000000000e+02,-1.268519331875556982e-07,-1.253528147388408047e-07,nan
2.200000000000000000e+02,-1.394123395162350460e-07,-1.377616743240153760e-07,nan
2.300000000000000000e+02,-1.525729228556562000e-07,-1.507627425340028444e-07,nan
2.400000000000000000e+02,-1.663296468359766733e-07,-1.643518945871738543e-07,nan
2.500000000000000000e+02,-1.806767715108820329e-07,-1.785233095703541340e-07,nan
2.600000000000000000e+02,-1.956066274364559700e-07,-1.932692470373848093e-07,nan
2.700000000000000000e+02,-2.111093804259138316e-07,-2.085798146419988476e-07,nan
2.800000000000000000e+02,-2.271727896100898742e-07,-2.244427294608915276e-07,nan
2.900000000000000000e+02,-2.437819632549669792e-07,-2.408430774654320805e-07,nan
3.000000000000000000e+02,-2.609191196020273076e-07,-2.577630783801055537e-07,nan
3.100000000000000000e+02,-2.785633639613310943e-07,-2.751818670753598887e-07,nan
3.200000000000000000e+02,-2.966904983030826806e-07,-2.930753075820923679e-07,nan
3.300000000000000000e+02,-3.152728853567789858e-07,-3.114158614819199639e-07,nan
3.400000000000000000e+02,-3.342793946925160571e-07,-3.301725377855777316e-07,nan
3.500000000000000000e+02,-3.536754620773900426e-07,-3.493109551299314850e-07,nan
3.600000000000000000e+02,-3.734232936811796069e-07,-3.687935473376110386e-07,nan
3.700000000000000000e+02,-3.934822416350530822e-07,-3.885799383075264184e-07,nan
3.800000000000000000e+02,-4.138093658522115979e-07,-4.086275006938789190e-07,nan
3.900000000000000000e+02,-4.343601790896894010e-07,-4.288920950868379241e-07,nan
4.000000000000000000e+02,-4.550895500373687539e-07,-4.493289644898563204e-07,nan
4.100000000000000000e+02,-4.759527165948971552e-07,-4.698937365878273467e-07,nan
4.200000000000000000e+02,-4.969063433492824958e-07,-4.905434684635888919e-07,nan
4.300000000000000000e+02,-5.179095480751821795e-07,-5.112376594596821290e-07,nan
4.400000000000000000e+02,-5.389248242403473857e-07,-5.319391601382631013e-07,nan
4.500000000000000000e+02,-5.599188001598741221e-07,-5.526149188899222711e-07,nan
4.600000000000000000e+02,-5.808627972543176814e-07,-5.732365293516562351e-07,nan
4.700000000000000000e+02,-6.017331754352233741e-07,-5.937805670678937730e-07,nan
4.800000000000000000e+02,-6.225114781999887091e-07,-6.142287280562973102e-07,nan
4.900000000000000000e+02,-6.431844095518912242e-07,-6.345678011714529294e-07,nan
5.000000000000000000e+02,-6.637436877242532654e-07,-6.547895187773347890e-07,nan
5.100000000000000000e+02,-6.841858266838240850e-07,-6.748903360679013157e-07,nan
5.200000000000000000e+02,-7.045118971313720036e-07,-6.948711900127853303e-07,nan
5.300000000000000000e+02,-7.247273147684693734e-07,-7.147372849232813187e-07,nan
5.400000000000000000e+02,-7.448416997969963952e-07,-7.344979477850507654e-07,nan
5.500000000000000000e+02,-7.648688462688578283e-07,-7.541665911528019425e-07,nan
5.600000000000000000e+02,-7.848623388920279321e-07,-7.737951601469264669e-07,nan
5.700000000000000000e+02,-8.047768429720301980e-07,-7.933399144713553472e-07,nan
5.800000000000000000e+02,-8.246719623184459099e-07,-8.128587127294523075e-07,nan
5.900000000000000000e+02,-8.445810734371958284e-07,-8.323840583353367931e-07,nan
6.000000000000000000e+02,-8.645445364295210119e-07,-8.519552475725809619e-07,nan
6.100000000000000000e+02,-8.846110671095125564e-07,-8.716197006277489709e-07,nan
6.200000000000000000e+02,-9.048395910565905292e-07,-8.914347611043834117e-07,nan
6.270000000000000000e+02,-9.191267749421788310e-07,-9.054248488898566839e-07,nan
6.400000000000000000e+02,-9.460701179686998613e-07,-9.317962974807400409e-07,nan
6.500000000000000000e+02,-9.672926022483829789e-07,-9.525573951610759422e-07,nan
6.600000000000000000e+02,-9.890558983337062979e-07,-9.738373705023908375e-07,nan
6.700000000000000000e+02,-1.011528456523370928e-06,-9.958000172782929051e-07,nan
6.800000000000000000e+02,-1.034893143581599758e-06,-1.018622895259775070e-06,nan
6.900000000000000000e+02,-1.059359219213376444e-06,-1.042508992939587158e-06,nan
7.000000000000000000e+02,-1.085152580670882005e-06,-1.067677100750055196e-06,nan
7.100000000000000000e+02,-1.112491781995981448e-06,-1.094338308821964895e-06,nan
7.200000000000000000e+02,-1.141545166398218712e-06,-1.122654102764689501e-06,nan
7.300000000000000000e+02,-1.172375690118146382e-06,-1.152682543626746659e-06,nan
7.400000000000000000e+02,-1.204978782815423805e-06,-1.184412895845462464e-06,nan
7.500000000000000000e+02,-1.238984443744338161e-06,-1.217484688313748553e-06,nan
7.600000000000000000e+02,-1.274099751247986316e-06,-1.251606825735536405e-06,nan
