t_s,uy_mass_m
0.000000000000000000e+00,-4.955875598421642019e-13
4.999999999999999774e-08,-1.640701445157997552e-09
9.999999999999999547e-08,-5.139293650018917484e-09
1.499999999999999932e-07,-9.824489329169203749e-09
1.999999999999999909e-07,-1.678066638656926961e-08
2.499999999999999887e-07,-2.593250122724175202e-08
2.999999999999999864e-07,-3.607306045041945177e-08
3.499999999999999842e-07,-4.705375596663539271e-08
3.999999999999999819e-07,-5.932557190043256798e-08
4.499999999999999796e-07,-7.226533582927608255e-08
4.999999999999999774e-07,-8.498937609064272447e-08
5.500000000000000281e-07,-9.754528581877230755e-08
5.999999999999999728e-07,-1.099142356371722292e-07
6.499999999999999176e-07,-1.213705834294238450e-07
6.999999999999999683e-07,-1.314654805003044444e-07
7.500000000000000190e-07,-1.402643081423200078e-07
7.999999999999999638e-07,-1.475852583765412081e-07
8.499999999999999086e-07,-1.529412899881193431e-07
8.999999999999999593e-07,-1.562446851067554031e-07
9.500000000000000100e-07,-1.575845014529362648e-07
9.999999999999999547e-07,-1.569332004559536573e-07
1.049999999999999900e-06,-1.540728936063071514e-07
1.100000000000000056e-06,-1.492134916349600196e-07
1.150000000000000001e-06,-1.426092821896270069e-07
1.199999999999999946e-06,-1.343225244328685892e-07
1.249999999999999890e-06,-1.245112528878687596e-07
1.299999999999999835e-06,-1.135598075971940353e-07
1.349999999999999992e-06,-1.017685005091030805e-07
1.399999999999999937e-06,-8.938544634138251363e-08
1.449999999999999881e-06,-7.673598005900528120e-08
1.500000000000000038e-06,-6.422934623424619069e-08
1.549999999999999983e-06,-5.218727625192296887e-08
1.599999999999999928e-06,-4.087893877681958548e-08
1.649999999999999872e-06,-3.062999457214164744e-08
1.699999999999999817e-06,-2.174981449620786490e-08
1.749999999999999974e-06,-1.444584651837176560e-08
1.799999999999999919e-06,-8.887816764731028147e-09
1.849999999999999863e-06,-5.248990009948073251e-09
1.900000000000000020e-06,-3.662113750545641666e-09
1.949999999999999965e-06,-4.087299611356772928e-09
1.999999999999999909e-06,-6.525097573733463842e-09
2.049999999999999854e-06,-1.091363060457283875e-08
2.099999999999999799e-06,-1.717632775388297654e-08
2.149999999999999744e-06,-2.509352492899047223e-08
2.200000000000000112e-06,-3.445582868292550087e-08
2.250000000000000057e-06,-4.502553315982455141e-08
2.300000000000000002e-06,-5.651776075709566374e-08
2.349999999999999947e-06,-6.860061491477412533e-08
2.399999999999999891e-06,-8.095881166388793985e-08
2.449999999999999836e-06,-9.327001231491556498e-08
2.499999999999999781e-06,-1.051941316898732574e-07
2.549999999999999726e-06,-1.164061522776078080e-07
2.599999999999999671e-06,-1.266187092006290249e-07
2.650000000000000039e-06,-1.355641490614291520e-07
2.699999999999999984e-06,-1.430010969181070868e-07
2.749999999999999928e-06,-1.487079561404914090e-07
2.799999999999999873e-06,-1.525638330292141053e-07
2.849999999999999818e-06,-1.544454414250107614e-07
2.899999999999999763e-06,-1.543674349740599980e-07
2.949999999999999708e-06,-1.522702678770230375e-07
3.000000000000000076e-06,-1.482263658315987038e-07
3.050000000000000021e-06,-1.423606336394441827e-07
3.099999999999999966e-06,-1.348396906333935782e-07
3.149999999999999910e-06,-1.258599241617313648e-07
3.199999999999999855e-06,-1.156637407641607317e-07
3.249999999999999800e-06,-1.045269507373096335e-07
3.299999999999999745e-06,-9.274457638295332127e-08
3.349999999999999690e-06,-8.064274671580177008e-08
3.399999999999999634e-06,-6.854236712739312044e-08
3.450000000000000003e-06,-5.676975586109142054e-08
3.499999999999999947e-06,-4.563998622453449721e-08
3.549999999999999892e-06,-3.545095089762287169e-08
3.599999999999999837e-06,-2.647357757520464609e-08
3.649999999999999782e-06,-1.894530734011809651e-08
3.699999999999999727e-06,-1.306527377322506135e-08
3.749999999999999671e-06,-8.988161394606574930e-09
3.800000000000000040e-06,-6.819179704694619651e-09
3.849999999999999561e-06,-6.643537697738263714e-09
3.899999999999999929e-06,-8.383004122414889953e-09
3.949999999999999451e-06,-1.204467036406714397e-08
3.999999999999999819e-06,-1.751905850497606713e-08
4.050000000000000187e-06,-2.464643327798664134e-08
4.099999999999999709e-06,-3.325855982460985625e-08
4.150000000000000077e-06,-4.309471200216932146e-08
4.199999999999999598e-06,-5.389261557994210906e-08
4.249999999999999966e-06,-6.537174772483927953e-08
4.299999999999999488e-06,-7.721295459753634515e-08
4.349999999999999856e-06,-8.910036945907258637e-08
4.400000000000000224e-06,-1.007181379686062193e-07
4.449999999999999746e-06,-1.117458872186352979e-07
4.500000000000000114e-06,-1.218988092719076285e-07
4.549999999999999635e-06,-1.309112096261467034e-07
4.600000000000000004e-06,-1.385262182493602023e-07
4.649999999999999525e-06,-1.445488955457994662e-07
4.699999999999999893e-06,-1.488339466498639369e-07
4.749999999999999414e-06,-1.512000944223875119e-07
4.799999999999999783e-06,-1.517096189090323086e-07
4.850000000000000151e-06,-1.503038369258636909e-07
4.899999999999999672e-06,-1.470101261267211297e-07
4.950000000000000041e-06,-1.419036241731071545e-07
4.999999999999999562e-06,-1.351514442354538640e-07
5.049999999999999930e-06,-1.269288444933227099e-07
5.099999999999999452e-06,-1.174537539121149005e-07
5.149999999999999820e-06,-1.069953598067920049e-07
5.199999999999999341e-06,-9.582368354676764205e-08
5.249999999999999709e-06,-8.424723288744191903e-08
5.300000000000000078e-06,-7.257597261531325922e-08
5.349999999999999599e-06,-6.112184655426275241e-08
5.399999999999999967e-06,-5.019127351763432805e-08
5.449999999999999489e-06,-4.007661107887843498e-08
