t_um,f1_Hz,oop1,f2_Hz,oop2,f3_Hz,oop3,f4_Hz,oop4,f5_Hz,oop5,f6_Hz,oop6
2.000000000000000111e-01,2.004712906220913283e+04,9.999998346304426189e-01,2.077109578070981661e+04,9.999966710394785352e-01,4.203896322669876827e+04,9.999954036199866225e-01,7.025927423994273704e+04,9.999949910857640623e-01,1.288435153761912370e+05,9.999792865865890779e-01,1.855253960764806543e+05,9.999799795271951952e-01
5.000000000000000000e-01,4.911546150654611847e+04,9.999989875425688846e-01,5.076992598788090982e+04,9.999792279786220428e-01,1.024428808672555024e+05,9.999713120132230904e-01,1.711935152045655705e+05,9.999690436075652222e-01,3.174479308959729387e+05,9.998704794476439561e-01,4.552497517080571270e+05,9.998736423928437089e-01
1.000000000000000000e+00,9.734584892717425828e+04,9.999959789698830148e-01,9.843352261135903245e+04,9.999170231830000199e-01,2.024382666285246087e+05,9.998853568977150719e-01,3.378998255615905509e+05,9.998768357459651979e-01,5.121871263535119360e+05,9.062479474192555457e-10,6.295232738433610648e+05,9.994818402700454962e-01
2.000000000000000000e+00,1.843382650876031257e+05,9.996685444920810903e-01,1.930796052595162764e+05,9.999840194356001133e-01,4.004394502823174116e+05,9.995421334267906577e-01,5.123219869534409372e+05,3.592055067385465161e-09,6.653472279524155892e+05,9.995107014952490099e-01,1.245463950006268919e+06,9.979268889985107860e-01
3.000000000000000000e+00,2.586429010204005172e+05,9.992552193790313897e-01,2.879432677312011947e+05,9.999642397377024317e-01,5.125068858636575751e+05,7.976482804121346139e-09,5.958855705732961651e+05,9.989716947921358781e-01,9.848866567875061883e+05,9.989064821773631087e-01,1.851178075665066252e+06,9.953402125685939517e-01
4.000000000000000000e+00,3.229443481702153804e+05,9.986778260162199050e-01,3.819972001389586949e+05,9.999368834933902717e-01,5.127340475861377781e+05,1.393085571320387827e-08,7.888990766147959512e+05,9.981759910218693799e-01,1.296883701356808655e+06,9.980699756612194662e-01,2.447156748043679632e+06,9.917363754419324939e-01
5.000000000000000000e+00,3.795070823207991198e+05,9.979372160597316244e-01,4.752490919105921639e+05,9.999022873636506104e-01,5.130028169244895107e+05,2.128018913665899869e-08,9.795183624753635377e+05,9.971575235681277016e-01,1.601561020792381838e+06,9.970077508435517544e-01,2.856670375988068990e+06,7.133815382602545458e-07
6.000000000000000000e+00,4.305909721506007481e+05,9.970343315437005804e-01,5.133106041715214960e+05,2.981968172164880336e-08,5.676705523823834956e+05,9.998608680728785503e-01,1.167703725789519027e+06,9.959193107654036314e-01,1.899010776346883038e+06,9.957269847813249308e-01,2.857092869166738354e+06,1.022215460909131579e-06
8.000000000000000000e+00,5.140269568365528830e+05,4.956987143212724687e-08,5.228433713750738534e+05,9.947461491743914141e-01,7.498100109673480038e+05,9.997595171233205624e-01,1.536401259586335393e+06,9.927980500229977023e-01,2.472196946275290567e+06,9.925405220328132883e-01,2.857982645895894617e+06,1.797759507940356216e-06
9.000000000000000000e+00,5.144268647689357749e+05,6.031588816741579694e-08,5.660049773497845745e+05,9.933634237508375264e-01,8.393980909426527796e+05,9.997006668853311018e-01,1.716678386699463474e+06,9.909232185823282357e-01,2.747821281576586422e+06,9.906506886839629988e-01,2.858448893184205983e+06,2.262038344801100759e-06
1.000000000000000000e+01,5.148489161910972325e+05,7.133905803973250209e-08,6.079215611099743983e+05,9.918235733339469951e-01,9.279060717369799968e+05,9.996371355875518505e-01,1.894073432825099444e+06,9.888449691432302791e-01,2.858928254410609137e+06,2.775631410625648564e-06,3.016040277092412580e+06,9.885737631723401364e-01
1.200000000000000000e+01,0.000000000000000000e+00,6.062748932186964312e-01,0.000000000000000000e+00,5.086083233340149556e-01,2.544702409901102858e+00,5.244298371057538183e-02,5.169631637968636895e+00,9.369554336880867584e-01,1.659207694369450081e+01,4.497460673796557229e-01,1.689217340281463464e+01,4.232482203267841081e-01
